team,cs2team,cse3score,cse2score,cse1score,id,newColumn,rankSE3,rankSE2,rankSE1,cse3scoreMax,cse3scoreMin,cse2scoreMax,cse2scoreMin,cse1scoreMax,cse1scoreMin,MeanRankingSE2_3,coefficient
14,42,73,75,64,141250004,4273,177,170,179,73.0,73.0,84.0,75.0,90.0,64.0,15.75,Infinity
15,26,82.5,93,89,141250123,2682.5,97,14,28,83.0,82.5,93.0,88.0,92.0,88.0,15.75,Infinity
15,31,82.5,91,88,141250137,3182.5,97,25,37,83.0,82.5,93.0,88.0,92.0,88.0,15.75,Infinity
15,26,82.5,88,92,141250097,2682.5,97,53,15,83.0,82.5,93.0,88.0,92.0,88.0,15.75,Infinity
15,23,83,92,89,141250140,2383,80,18,28,83.0,82.5,93.0,88.0,92.0,88.0,16.875,Infinity
16,27,91,77,77,141250043,2791,9,159,124,91.0,91.0,91.0,77.0,90.0,77.0,16.875,Infinity
16,29,91,89,86,141250042,2991,9,44,53,91.0,91.0,91.0,77.0,90.0,77.0,16.875,Infinity
16,41,91,82,78,141250014,4191,9,122,121,91.0,91.0,91.0,77.0,90.0,77.0,16.875,Infinity
16,31,91,91,90,141250018,3191,9,25,22,91.0,91.0,91.0,77.0,90.0,77.0,16.875,Infinity
17,25,83.5,88,83,141250182,2583.5,77,53,76,83.5,81.0,88.0,83.0,89.0,68.0,16.875,Infinity
17,25,83.5,86,89,141250147,2583.5,77,66,28,83.5,81.0,88.0,83.0,89.0,68.0,16.875,Infinity
17,25,81,86,79,141250139,2581,112,66,112,83.5,81.0,88.0,83.0,89.0,68.0,16.875,Infinity
17,34,83.5,83,68,141250168,3483.5,77,105,168,83.5,81.0,88.0,83.0,89.0,68.0,16.875,Infinity
18,3,83,91,89,141250115,383,80,25,28,83.0,83.0,91.0,80.0,91.0,84.0,16.875,Infinity
18,3,83,80,91,141250119,383,80,141,19,83.0,83.0,91.0,80.0,91.0,84.0,16.875,Infinity
18,22,83,86,84,141250134,2283,80,66,66,83.0,83.0,91.0,80.0,91.0,84.0,16.875,Infinity
18,34,83,91,87,141250136,3483,80,25,48,83.0,83.0,91.0,80.0,91.0,84.0,16.875,Infinity
19,39,77,92,87,141250061,3977,149,18,48,77.0,77.0,92.0,75.0,93.0,34.0,17.4375,Infinity
19,39,77,84,93,141250065,3977,149,94,13,77.0,77.0,92.0,75.0,93.0,34.0,17.4375,Infinity
19,34,77,75,34,141250121,3477,149,170,205,77.0,77.0,92.0,75.0,93.0,34.0,17.4375,Infinity
19,39,77,75,73,141250158,3977,149,170,149,77.0,77.0,92.0,75.0,93.0,34.0,17.4375,Infinity
20,33,78,82,88,141250024,3378,137,122,37,78.0,78.0,85.0,76.0,88.0,76.0,17.4375,Infinity
20,33,78,85,80,141250047,3378,137,84,103,78.0,78.0,85.0,76.0,88.0,76.0,17.4375,Infinity
20,33,78,83,84,141250052,3378,137,105,66,78.0,78.0,85.0,76.0,88.0,76.0,17.4375,Infinity
20,55,78,76,76,141250203,5578,137,165,131,78.0,78.0,85.0,76.0,88.0,76.0,17.4375,Infinity
21,1,92,90,94,141250083,192,5,36,8,92.0,92.0,90.0,82.0,94.0,69.0,17.4375,Infinity
21,1,92,82,77,141250062,192,5,122,124,92.0,92.0,90.0,82.0,94.0,69.0,17.4375,Infinity
21,1,92,86,80,141250102,192,5,66,103,92.0,92.0,90.0,82.0,94.0,69.0,17.4375,Infinity
21,1,92,85,69,141250089,192,5,84,162,92.0,92.0,90.0,82.0,94.0,69.0,17.4375,Infinity
22,43,82.5,84,71,141250036,4382.5,97,94,155,82.5,82.5,91.0,84.0,79.0,66.0,17.4375,Infinity
22,7,82.5,89,79,141250044,782.5,97,44,112,82.5,82.5,91.0,84.0,79.0,66.0,17.4375,Infinity
